product_id,sku,product_name,category,brand,base_price,cost_price,weight_kg,dimensions_cm,supplier,status,created_date
30,FOO00030,SportMax Drink 030,Food & Beverages,SportMax,23.14,14.65,4.86,49.4x25.1x23.7,Global Supplies Inc,active,2025-04-08 14:26:59.421835
31,ELE00031,SportMax Phone 031,Electronics,SportMax,260.91,147.84,7.71,47.8x44.0x11.2,Global Supplies Inc,active,2025-11-26 14:26:59.421895
32,SPO00032,SportMax Accessory 032,Sports & Outdoors,SportMax,44.87,24.95,8.54,32.1x32.4x26.9,Global Supplies Inc,active,2025-05-06 14:26:59.421954
33,HEA00033,HealthPlus Fragrance 033,Health & Beauty,HealthPlus,53.34,28.34,9.05,23.9x30.6x24.6,Premium Products Ltd,active,2025-10-02 14:26:59.422013
34,FOO00034,TechPro Bakery 034,Food & Beverages,TechPro,21.37,9.89,5.84,23.7x31.5x16.5,FastShip Logistics,active,2026-01-08 14:26:59.422072
35,HOM00035,PlayFun Plant 035,Home & Garden,PlayFun,210.24,101.67,1.85,13.5x14.8x16.5,Quality Goods Co,active,2025-10-30 14:26:59.422130
36,CLO00036,SportMax Dress 036,Clothing,SportMax,123.92,79.54,7.51,17.4x18.4x14.3,Quality Goods Co,active,2025-10-30 14:26:59.422189
37,TOY00037,StyleCo Educational 037,Toys & Games,StyleCo,88.71,44.91,4.03,14.2x39.5x9.6,Global Supplies Inc,active,2025-10-22 14:26:59.422248
38,CLO00038,BookWorld Jacket 038,Clothing,BookWorld,64.58,36.64,5.91,32.6x25.2x13.4,Premium Products Ltd,active,2025-06-04 14:26:59.422306
39,FOO00039,PlayFun Fresh Food 039,Food & Beverages,PlayFun,7.46,3.62,1.82,45.9x13.2x18.1,ValueMart Distributors,discontinued,2025-06-07 14:26:59.422369
40,BOO00040,StyleCo Game 040,Books & Media,StyleCo,36.75,21.0,2.87,40.8x17.5x13.1,FastShip Logistics,active,2025-12-27 14:26:59.422428
41,ELE00041,HomeBase Phone 041,Electronics,HomeBase,324.78,143.01,0.73,49.6x22.9x25.2,Global Supplies Inc,active,2025-02-21 14:26:59.422487
42,ELE00042,TechPro Tablet 042,Electronics,TechPro,262.92,183.33,2.13,25.2x47.1x23.0,Premium Products Ltd,active,2025-02-22 14:26:59.422546
43,FOO00043,TechPro Bakery 043,Food & Beverages,TechPro,5.78,2.99,8.18,27.6x25.1x16.6,Global Supplies Inc,active,2025-08-26 14:26:59.422605
44,ELE00044,TechPro Phone 044,Electronics,TechPro,454.81,227.62,1.48,41.8x34.8x18.3,FastShip Logistics,active,2025-12-09 14:26:59.422663
45,ELE00045,TechPro Speaker 045,Electronics,TechPro,161.82,70.1,8.48,15.1x25.9x24.9,ValueMart Distributors,active,2025-02-26 14:26:59.422722
46,HOM00046,SportMax Decor 046,Home & Garden,SportMax,223.37,104.58,4.29,21.5x34.6x27.8,Quality Goods Co,active,2025-09-27 14:26:59.422780
47,TOY00047,HomeBase Puzzle 047,Toys & Games,HomeBase,66.57,35.1,7.39,47.4x47.0x16.3,ValueMart Distributors,discontinued,2025-09-28 14:26:59.422839
48,HOM00048,BookWorld Furniture 048,Home & Garden,BookWorld,194.13,112.81,1.23,26.6x44.5x28.1,Quality Goods Co,active,2025-12-30 14:26:59.422897
49,TOY00049,FreshMart Puzzle 049,Toys & Games,FreshMart,64.35,37.95,0.23,36.5x17.1x29.0,Global Supplies Inc,active,2025-11-14 14:26:59.422955
50,SPO00050,PlayFun Equipment 050,Sports & Outdoors,PlayFun,164.96,84.68,8.38,33.5x21.8x22.9,Quality Goods Co,active,2025-09-25 14:26:59.423014
